Date,Open,High,Low,Close,Volume
16-Jun-15,31.84,33.20,31.15,31.69,414729
15-Jun-15,32.20,32.93,31.54,31.93,364347
12-Jun-15,30.90,32.30,30.42,32.15,341994
11-Jun-15,30.21,32.00,29.46,31.11,726414
10-Jun-15,27.96,30.19,27.56,29.99,563419
9-Jun-15,27.10,28.60,27.10,27.91,333525
8-Jun-15,26.70,27.48,26.50,27.10,231582
5-Jun-15,27.94,28.08,26.75,26.87,359631
4-Jun-15,28.38,28.94,27.75,28.11,322250
3-Jun-15,27.75,29.20,27.48,28.59,543035
2-Jun-15,26.78,28.17,26.40,27.57,399397
1-Jun-15,27.55,28.08,26.62,26.82,374087
29-May-15,27.65,28.00,26.66,27.52,444299
28-May-15,29.00,29.00,27.75,27.83,481223
27-May-15,28.72,29.19,28.30,29.00,656456
26-May-15,29.28,30.16,28.36,29.05,408734
22-May-15,28.69,29.18,28.33,28.94,239367
21-May-15,28.88,29.34,28.43,28.73,218426
20-May-15,29.53,29.71,27.60,28.95,514487
19-May-15,30.47,30.47,29.02,29.53,362809
18-May-15,30.11,31.09,29.45,30.37,482189
15-May-15,30.62,31.00,29.75,30.26,597779
14-May-15,30.59,31.04,29.61,30.66,539334
13-May-15,30.32,30.51,28.25,30.22,612803
12-May-15,30.67,30.90,29.62,30.43,368602
11-May-15,30.07,32.70,29.75,30.51,518667
8-May-15,30.21,30.98,29.54,29.96,633522
7-May-15,27.38,30.10,26.63,29.92,639137
6-May-15,28.57,28.93,26.43,27.31,696602
5-May-15,29.95,30.85,28.25,28.58,943620
4-May-15,26.74,30.69,26.50,30.25,1053954
1-May-15,25.50,27.45,24.37,26.94,851855
30-Apr-15,25.00,25.00,23.44,24.25,532931
29-Apr-15,25.00,26.64,24.38,24.77,797863
28-Apr-15,24.00,25.68,23.52,25.21,1125089
27-Apr-15,23.24,24.49,22.83,24.00,653201
24-Apr-15,22.16,24.90,22.04,23.24,1584509
23-Apr-15,18.23,22.75,18.10,22.48,2366708
22-Apr-15,16.76,18.10,16.61,18.07,644979
21-Apr-15,17.56,17.56,16.62,16.75,305703
20-Apr-15,17.40,18.44,17.39,17.52,365689
17-Apr-15,17.66,17.85,16.92,17.39,385831
16-Apr-15,18.67,18.83,17.76,17.80,412601
15-Apr-15,18.32,19.15,17.75,18.79,308631
14-Apr-15,19.08,19.10,18.08,18.26,487986
13-Apr-15,21.30,21.37,18.70,19.08,924919
10-Apr-15,19.50,20.84,18.30,20.53,667418
9-Apr-15,18.97,19.50,18.57,18.91,421605
8-Apr-15,19.12,19.20,18.02,18.42,593389
7-Apr-15,18.46,20.14,18.06,19.38,1657070
6-Apr-15,14.85,16.52,14.65,16.46,511172
2-Apr-15,13.14,15.24,13.14,15.00,620017
1-Apr-15,12.82,13.45,12.56,13.26,308785
31-Mar-15,13.15,13.15,12.41,12.87,500677
30-Mar-15,13.49,13.71,12.97,13.11,364655
27-Mar-15,13.94,14.10,13.19,13.37,348020
