Date,Open,High,Low,Close,Volume
16-Jun-15,673.51,679.54,673.51,675.78,152930
15-Jun-15,680.25,681.6,672.34,674,274178
12-Jun-15,681.28,686.14,680.01,682.08,192626
11-Jun-15,684.79,687.58,682.42,684.84,156649
10-Jun-15,676.54,682.68,675.43,681.58,265917
9-Jun-15,676.38,680.52,672.61,676.04,213015
8-Jun-15,673.5,680.8,672.04,678.45,273528
5-Jun-15,679.32,679.32,674.56,675.5,203345
4-Jun-15,679.92,681.81,675.36,678.18,282551
3-Jun-15,679.88,683.14,676.68,681.79,267156
2-Jun-15,674.18,680.34,670.12,675.74,259476
1-Jun-15,676.98,677.1,668.4,673.36,304757
29-May-15,681.97,682.16,672.66,673.62,277904
28-May-15,681.15,687.42,676.89,679.51,339527
27-May-15,682,688.82,677.74,680.73,434216
26-May-15,689.07,693.99,682.86,688.43,409229
22-May-15,692.96,693.96,686.84,689.18,290778
21-May-15,685,692.4,682.03,691.91,272713
20-May-15,695.31,696.04,687.74,687.81,234781
19-May-15,696.24,701.26,692.74,694.58,186369
18-May-15,690,695.5,688.88,693.52,280761
15-May-15,685.34,690.23,680.34,689.85,342974
14-May-15,683.54,687.31,678.59,682.13,360012
13-May-15,676.86,686.95,676.86,680.36,259290
12-May-15,677.52,682.84,676.87,678.97,230016
11-May-15,689,689.67,678.47,678.83,309542
8-May-15,683.92,690.44,681.33,686.13,184354
7-May-15,678,683,675.03,677.48,208071
6-May-15,674.5,677.2,668.14,675.03,247696
5-May-15,682,684.21,672.4,672.91,233533
4-May-15,683,686.91,680.01,684.74,181748
1-May-15,675.06,680.72,673.82,679.25,285733
30-Apr-15,682.63,684.48,671.36,672.66,414849
29-Apr-15,690,694.09,681.13,682.39,263871
28-Apr-15,691.68,694.52,688.6,693.05,207507
27-Apr-15,702.73,703.23,691.81,692.38,229379
24-Apr-15,705,705,699.97,702,229531
23-Apr-15,695,703.11,695,702.33,412544
22-Apr-15,691,694.52,683.56,693.41,525340
21-Apr-15,692.41,695.12,684.36,690.73,274532
20-Apr-15,685.76,692.41,685.73,689.36,206957
17-Apr-15,686.38,689.45,681.4,683.43,306916
16-Apr-15,690,694.3,686.12,692.4,304766
15-Apr-15,698,699.25,689.14,694.17,277826
14-Apr-15,696.09,699,690.24,695.81,199324
13-Apr-15,699,704.44,696.15,699.05,163828
10-Apr-15,698.65,702.24,696.03,701.73,157092
9-Apr-15,696.56,699.64,690.82,695.77,252066
8-Apr-15,690.91,699.95,690.6,698.24,236414
7-Apr-15,694.96,698.94,690.47,693.11,253330
6-Apr-15,684.77,699.19,684.2,695.45,371663
2-Apr-15,691.86,696,684.82,689.11,339626
1-Apr-15,687,693.57,678.6,692.93,421002
31-Mar-15,683.06,694.45,682.16,682.16,422402
30-Mar-15,682.58,690.87,681.8,689.38,277787
27-Mar-15,664.15,682,662.12,681.34,384841
26-Mar-15,661.11,662.5,652.19,662.04,212148
25-Mar-15,669.48,671.41,660.06,660.72,233874
24-Mar-15,671.19,675.85,664.98,667.45,249404
23-Mar-15,664.93,671.83,663.24,671.27,439681
20-Mar-15,666.25,671.15,662.05,662.43,350246
19-Mar-15,667.75,672.47,661.51,667.39,178389
18-Mar-15,663.41,671.29,659.01,667.42,247978
17-Mar-15,659.4,665.3,658.51,662.18,225703
16-Mar-15,658.39,665.78,657.27,665.41,232582
13-Mar-15,654.46,657.86,647.56,654.66,178357
12-Mar-15,647.39,656.39,645.52,652.76,238964
11-Mar-15,640,649.97,640,643.81,386329
10-Mar-15,650.43,650.43,640.81,643.05,338796
9-Mar-15,644.53,651.14,644.12,650.89,236927
6-Mar-15,647.46,652.86,644.39,645.2,277852
5-Mar-15,655.85,657.88,646.85,650.97,345216
4-Mar-15,653.47,654.76,644.22,652.48,448444
3-Mar-15,671.14,674.76,648.99,651.9,666699
2-Mar-15,642.42,649.53,640.66,649.53,326449
27-Feb-15,647.24,651.95,640.52,642.68,319766
26-Feb-15,633.3,646.52,633.3,644.97,231532
25-Feb-15,640.98,642.17,634.65,637.12,188563
24-Feb-15,638.58,640,634.15,637.79,164183
23-Feb-15,625,636.96,620.49,636.77,281530
20-Feb-15,618.98,625,614.39,623.31,236897
19-Feb-15,621.48,623.44,612.76,618.34,238419
18-Feb-15,613.72,617.99,612.68,617.92,167938
17-Feb-15,615.55,620.31,612.95,615.15,205753
13-Feb-15,614.13,619.62,611.68,618.5,164914
12-Feb-15,619.89,621.75,615.52,617.51,160569
11-Feb-15,615,621.99,614,620.51,188128
10-Feb-15,620.22,620.22,609.25,616.66,158672
9-Feb-15,607.14,613.56,606.28,613.05,223205
6-Feb-15,613.95,618.1,609.66,611.34,225649
5-Feb-15,605.96,621.48,596.64,614.88,364116
4-Feb-15,607.2,612.81,597.85,601.63,281367
3-Feb-15,598.55,608.13,597.4,607.84,264511
2-Feb-15,600.51,601.59,586.25,593.75,316550
30-Jan-15,611.45,614.63,596.48,596.96,349195
29-Jan-15,606.01,612.9,606.01,611.13,262337
28-Jan-15,610.25,617.69,608.18,610.57,258227
27-Jan-15,608.44,612.86,605.13,608.59,272068
26-Jan-15,602.85,612.61,600.52,612.14,247131
23-Jan-15,603.35,605.95,599.21,604,272160
22-Jan-15,587.74,602.68,586.41,600.1,254096
21-Jan-15,581.54,588.44,579.09,586.06,333102
20-Jan-15,582.8,586.96,578.05,584.33,201186
16-Jan-15,575.19,581.12,569.54,580.85,340648
15-Jan-15,584.08,586.53,574.92,575.28,196611
14-Jan-15,584.59,586.16,577.93,582.78,316910
13-Jan-15,599.38,603.22,583.55,588.95,253222
12-Jan-15,606.84,609.03,596.56,597.36,163631
9-Jan-15,608.33,608.61,600.04,606.02,473642
8-Jan-15,610.36,614.97,605.07,606,594329
7-Jan-15,616,616,605.59,607.24,388517
6-Jan-15,610.77,612.34,599.81,607.82,391854
5-Jan-15,614.46,616.11,605.7,608.49,439807
2-Jan-15,623.98,623.98,613.49,616.79,224682
31-Dec-14,626.49,627.3,618.94,619.11,207464
30-Dec-14,623.32,626.09,619.09,622.45,170942
29-Dec-14,618.13,625.78,617.15,624.49,114960
26-Dec-14,618.4,624.97,615.43,618.76,106663
24-Dec-14,621.73,624.38,617.43,617.43,68661
23-Dec-14,619,626.19,617.78,621.3,182533
22-Dec-14,614.89,617.31,611.84,616.64,221536
19-Dec-14,620.56,620.56,610.64,618.6,379675
18-Dec-14,606.77,616.11,600.12,615.48,340263
17-Dec-14,600,604.19,594.91,602.46,318229
16-Dec-14,603.88,610.35,597.93,597.93,302415
15-Dec-14,609.09,612.83,604.19,605.84,305471
12-Dec-14,598.56,609.39,597.92,604.73,285216
11-Dec-14,602.82,606.39,597.31,602.39,319719
10-Dec-14,606.25,610.99,597.01,598.37,318601
9-Dec-14,606,611.53,593.06,605.81,661109
8-Dec-14,593.66,594.53,578.78,581.05,400085
5-Dec-14,588.12,592.41,587.39,587.95,274448
4-Dec-14,588,592.9,586.09,588.07,299490
3-Dec-14,585.46,593,585.46,590.55,354979
2-Dec-14,571.52,586.45,571.52,585.49,453833
1-Dec-14,575.98,579.52,571.27,575.72,409191
28-Nov-14,570,583,566.08,577.71,121169
26-Nov-14,570,572.99,566.65,568.55,144210
25-Nov-14,573.66,573.66,566.35,568.98,243458
24-Nov-14,569.16,571.61,566.41,571.38,174890
21-Nov-14,574.14,574.82,568.6,569.21,239367
20-Nov-14,564.95,569.5,564.95,567.5,176591
19-Nov-14,570.63,572.17,567.12,568.51,139124
18-Nov-14,567.99,573.09,565.28,568.59,194940
17-Nov-14,567.75,572.02,567.18,568.06,209488
14-Nov-14,570.61,574.09,564.01,567.11,241158
13-Nov-14,569.53,576,569.53,573.72,347991
12-Nov-14,571,571.26,566.42,568.8,236821
