Date,Open,High,Low,Close,Volume
16-Jun-15,19.11,19.18,19.03,19.08,3005465
15-Jun-15,19.20,19.25,19.05,19.13,3275397
12-Jun-15,19.41,19.49,19.24,19.26,1611182
11-Jun-15,19.48,19.59,19.42,19.49,2417748
10-Jun-15,19.39,19.60,19.39,19.39,3652337
9-Jun-15,19.18,19.32,19.15,19.29,3668237
8-Jun-15,19.29,19.40,19.18,19.18,3023857
5-Jun-15,19.19,19.45,19.06,19.32,4800111
4-Jun-15,19.55,19.74,19.28,19.30,4207951
3-Jun-15,19.72,19.76,19.52,19.62,4083836
2-Jun-15,20.22,20.22,19.70,19.73,5055976
1-Jun-15,20.40,20.42,20.18,20.22,3308552
29-May-15,20.37,20.51,20.24,20.37,3535259
28-May-15,20.22,20.39,20.18,20.38,2908456
27-May-15,20.27,20.32,20.16,20.24,2855294
26-May-15,20.44,20.48,20.14,20.27,2642024
22-May-15,20.55,20.55,20.36,20.44,2188961
21-May-15,20.57,20.64,20.41,20.51,2915421
20-May-15,20.42,20.61,20.22,20.53,4351861
19-May-15,20.39,20.46,20.30,20.39,2862463
18-May-15,20.35,20.50,20.29,20.42,4941848
15-May-15,20.28,20.44,20.18,20.39,4626804
14-May-15,19.98,20.27,19.95,20.20,4580393
13-May-15,19.74,19.96,19.63,19.84,6702871
12-May-15,20.34,20.35,19.96,20.04,7664867
11-May-15,20.40,20.84,20.32,20.50,3564649
8-May-15,20.59,20.72,20.42,20.72,3458428
7-May-15,20.39,20.47,20.23,20.30,3484702
6-May-15,20.75,20.79,20.19,20.36,4399721
5-May-15,21.07,21.15,20.66,20.70,3199676
4-May-15,21.06,21.29,21.05,21.11,2220444
1-May-15,21.03,21.14,20.89,21.06,2686671
30-Apr-15,21.01,21.05,20.77,20.97,4197958
29-Apr-15,20.89,21.13,20.66,21.13,3283914
28-Apr-15,20.72,21.08,20.68,21.01,2841416
27-Apr-15,21.10,21.10,20.74,20.81,3093940
24-Apr-15,20.98,21.14,20.87,21.05,3070826
23-Apr-15,20.85,21.00,20.75,20.97,2875485
22-Apr-15,20.74,20.99,20.57,20.83,2883609
21-Apr-15,21.16,21.24,20.63,20.66,4114670
20-Apr-15,21.02,21.22,21.02,21.12,1981368
17-Apr-15,20.66,21.10,20.66,20.90,3597706
16-Apr-15,21.12,21.13,20.63,20.86,5229471
15-Apr-15,20.82,21.48,20.67,21.31,6226741
14-Apr-15,20.56,20.75,20.56,20.72,1941103
13-Apr-15,20.72,20.74,20.54,20.56,2332831
10-Apr-15,20.54,20.88,20.54,20.76,1962906
9-Apr-15,20.66,20.70,20.46,20.52,3725576
8-Apr-15,20.87,20.93,20.63,20.69,4118394
7-Apr-15,20.98,21.07,20.81,20.87,2745245
6-Apr-15,20.75,21.10,20.72,21.06,2772909
2-Apr-15,20.77,20.84,20.56,20.72,3018066
1-Apr-15,20.40,20.83,20.28,20.78,3400981
31-Mar-15,20.60,20.74,20.25,20.41,5408288
30-Mar-15,20.68,20.87,20.57,20.63,3102146
27-Mar-15,20.42,20.66,20.32,20.62,3085515
26-Mar-15,20.59,20.73,20.42,20.42,3288796
25-Mar-15,20.85,20.93,20.57,20.58,2684736
24-Mar-15,20.88,21.12,20.76,20.79,2932045
23-Mar-15,21.19,21.29,20.90,20.91,3640982
20-Mar-15,20.97,21.26,20.92,21.17,5819003
19-Mar-15,21.20,21.26,20.83,20.84,4611182
18-Mar-15,20.71,21.47,20.64,21.35,2924642
17-Mar-15,20.67,20.79,20.52,20.70,3459331
16-Mar-15,20.63,20.95,20.58,20.70,4175161
13-Mar-15,20.71,20.75,20.23,20.54,3938571
12-Mar-15,20.56,20.82,20.49,20.74,3567588
11-Mar-15,20.62,20.70,20.40,20.46,3561995
10-Mar-15,20.71,20.83,20.63,20.64,5046117
9-Mar-15,20.65,20.88,20.61,20.73,4399730
6-Mar-15,20.64,20.88,20.50,20.65,5344789
5-Mar-15,20.94,21.12,20.84,20.96,4178090
4-Mar-15,20.70,20.88,20.68,20.74,3900634
3-Mar-15,20.68,20.91,20.54,20.78,4019769
2-Mar-15,20.81,20.87,20.53,20.69,5389799
27-Feb-15,21.00,21.04,20.63,20.79,6445055
26-Feb-15,21.59,21.69,20.83,21.02,6704822
25-Feb-15,21.98,21.99,21.51,21.57,4439022
24-Feb-15,21.71,22.14,21.60,22.04,3994233
23-Feb-15,21.74,21.81,21.48,21.68,2247926
20-Feb-15,21.64,21.74,21.45,21.73,2851088
19-Feb-15,21.96,21.96,21.50,21.61,3713881
18-Feb-15,21.54,21.97,21.54,21.94,4501063
17-Feb-15,21.61,21.79,21.50,21.60,5676180
13-Feb-15,22.10,22.15,21.69,21.76,6230674
12-Feb-15,21.77,22.12,21.67,22.11,4691897
11-Feb-15,22.29,22.35,21.60,21.65,4704748
10-Feb-15,22.21,22.72,22.11,22.67,3669233
9-Feb-15,22.23,22.56,22.12,22.19,4030565
6-Feb-15,23.13,23.15,22.11,22.22,4395724
5-Feb-15,22.99,23.28,22.83,23.19,3555321
4-Feb-15,22.73,22.92,22.52,22.80,4895030
3-Feb-15,22.61,22.92,22.51,22.84,5485048
2-Feb-15,23.12,23.30,22.68,22.90,4296385
30-Jan-15,23.16,23.44,23.06,23.09,4888815
29-Jan-15,22.80,23.46,22.70,23.37,4108122
28-Jan-15,23.17,23.24,22.66,22.76,4317021
27-Jan-15,22.87,23.31,22.80,23.14,3045695
26-Jan-15,22.77,23.01,22.40,23.00,2689752
23-Jan-15,22.95,23.13,22.87,22.97,2328628
22-Jan-15,23.23,23.33,22.74,22.89,3461976
21-Jan-15,22.89,23.18,22.76,23.15,3248757
20-Jan-15,23.08,23.12,22.62,22.89,3196250
16-Jan-15,22.61,23.01,22.44,23.00,4188092
15-Jan-15,22.66,22.76,22.50,22.66,3756619
14-Jan-15,22.42,22.64,22.21,22.62,4441802
13-Jan-15,22.93,23.15,22.49,22.64,3044871
12-Jan-15,22.74,22.82,22.37,22.76,2481223
9-Jan-15,23.19,23.20,22.65,22.71,2127149
8-Jan-15,22.86,23.24,22.71,23.20,3429711
7-Jan-15,22.54,22.87,22.38,22.66,5264500
6-Jan-15,22.88,23.02,22.21,22.37,4766376
5-Jan-15,23.27,23.44,22.70,22.88,4125912
2-Jan-15,23.45,23.66,23.30,23.63,2278596
31-Dec-14,23.87,23.90,23.38,23.43,2306976
30-Dec-14,24.30,24.38,23.80,23.82,2260577
29-Dec-14,23.93,24.35,23.93,24.29,2917046
26-Dec-14,23.81,24.11,23.80,23.93,2806936
24-Dec-14,23.45,23.80,23.43,23.76,1894171
23-Dec-14,23.37,23.55,23.28,23.45,2718709
22-Dec-14,23.11,23.29,22.88,23.27,3545976
19-Dec-14,23.08,23.23,22.91,23.10,6554670
18-Dec-14,22.55,23.00,22.49,23.00,4709004
17-Dec-14,21.86,22.53,21.70,22.49,5407964
16-Dec-14,21.53,22.24,21.40,21.71,5656441
15-Dec-14,22.07,22.12,21.48,21.54,5507261
12-Dec-14,22.51,22.59,22.00,22.00,5689854
11-Dec-14,22.70,23.00,22.56,22.58,4688422
10-Dec-14,23.43,23.48,22.52,22.65,6864161
9-Dec-14,23.19,23.60,23.19,23.45,3915211
8-Dec-14,23.52,23.83,23.21,23.30,4249167
5-Dec-14,23.74,23.93,23.48,23.55,3944857
4-Dec-14,24.06,24.17,23.87,23.92,4794276
3-Dec-14,23.81,24.15,23.76,24.09,3589987
2-Dec-14,23.47,23.90,23.41,23.77,5478246
1-Dec-14,23.85,23.88,23.40,23.50,5473043
28-Nov-14,24.25,24.37,23.84,23.94,3599949
26-Nov-14,24.37,24.42,24.22,24.27,1887794
25-Nov-14,24.42,24.44,24.15,24.31,3464481
24-Nov-14,24.40,24.54,24.30,24.35,2973158
21-Nov-14,24.59,24.61,24.18,24.34,6072924
20-Nov-14,24.31,24.51,24.22,24.33,1806027
19-Nov-14,24.50,24.63,24.34,24.38,2604769
18-Nov-14,24.37,24.66,24.24,24.59,2906222
17-Nov-14,24.05,24.45,23.95,24.38,2971466
14-Nov-14,24.11,24.21,23.98,24.04,3989711
13-Nov-14,24.62,24.73,24.16,24.19,4326619
12-Nov-14,24.74,24.94,24.56,24.57,5329602
11-Nov-14,25.43,25.56,25.13,25.30,3106588
