Date,Open,High,Low,Close,Volume
16-Jun-15,137.20,138.24,137.15,137.98,1553647
15-Jun-15,137.94,138.32,137.15,137.23,1940600
12-Jun-15,139.06,139.30,138.51,138.78,1290728
11-Jun-15,139.64,140.47,139.19,139.32,1342315
10-Jun-15,138.32,139.94,138.26,139.43,1725642
9-Jun-15,137.92,138.76,137.81,138.04,2039068
8-Jun-15,138.91,138.91,138.02,138.05,1879735
5-Jun-15,140.74,140.81,138.74,138.78,3203240
4-Jun-15,141.37,142.50,140.33,140.65,2898607
3-Jun-15,141.67,142.51,141.18,142.13,1858446
2-Jun-15,141.97,142.67,140.89,141.40,1963529
1-Jun-15,143.05,143.25,141.90,142.39,2183416
29-May-15,143.78,143.95,141.77,142.59,3027050
28-May-15,144.32,145.97,143.16,144.26,3206152
27-May-15,143.63,145.64,143.11,145.42,2954072
26-May-15,144.08,144.41,143.08,143.25,2477397
22-May-15,143.90,144.76,143.40,143.68,1189460
21-May-15,143.37,144.59,142.84,143.94,1539527
20-May-15,145.06,145.06,143.26,143.49,1640883
19-May-15,144.81,145.50,144.31,144.74,1332707
18-May-15,144.74,145.29,144.05,145.06,1451924
15-May-15,143.22,144.96,142.74,144.83,2357005
14-May-15,144.13,144.13,141.53,142.60,3023665
13-May-15,143.88,145.29,142.72,143.24,2135920
12-May-15,144.00,145.00,143.42,144.07,1923886
11-May-15,145.54,146.33,144.20,144.27,1906719
8-May-15,146.00,147.56,145.80,145.88,1728677
7-May-15,144.52,145.61,144.01,144.56,2565148
6-May-15,145.35,145.84,144.01,144.77,1737330
5-May-15,145.12,145.74,144.29,144.50,1769579
4-May-15,145.39,146.21,144.61,145.75,1288750
1-May-15,143.46,145.74,143.22,145.39,1505446
30-Apr-15,143.85,144.90,142.54,143.05,2523216
29-Apr-15,145.88,146.25,143.87,144.46,1719013
28-Apr-15,146.89,147.19,146.05,146.61,1302052
27-Apr-15,148.30,148.50,146.86,146.96,1716996
24-Apr-15,147.33,148.40,146.87,148.12,1421088
23-Apr-15,146.60,147.95,146.27,147.30,1352575
22-Apr-15,147.93,147.93,146.28,146.98,1424247
21-Apr-15,146.98,148.08,146.60,147.34,1616723
20-Apr-15,146.65,147.25,145.75,146.31,2882070
17-Apr-15,146.58,146.73,143.10,144.57,4369326
16-Apr-15,148.76,148.90,146.91,147.11,2680610
15-Apr-15,149.58,150.67,149.05,149.07,1405557
14-Apr-15,149.00,150.10,147.72,149.52,1540864
13-Apr-15,149.44,150.34,148.93,149.02,1120171
10-Apr-15,149.40,150.03,148.62,149.64,1572920
9-Apr-15,150.57,151.00,148.27,148.81,3401763
8-Apr-15,152.23,152.67,151.19,152.00,1482950
7-Apr-15,152.53,152.95,151.72,151.78,1392314
6-Apr-15,151.37,152.84,150.60,152.50,1767562
2-Apr-15,150.47,152.00,150.36,151.63,1096109
1-Apr-15,151.83,151.87,149.70,150.24,1795025
31-Mar-15,151.84,153.00,151.25,151.50,1886112
30-Mar-15,150.91,152.59,150.80,152.36,1463754
