Date,Open,High,Low,Close,Volume
16-Jun-15,102.61,103.28,102.28,103.17,3992001
15-Jun-15,102.87,103.34,101.86,102.58,5501454
12-Jun-15,102.26,102.82,101.68,102.22,2930893
11-Jun-15,102.52,103.37,102.36,102.63,3361286
10-Jun-15,100.50,102.38,100.40,102.13,3909160
9-Jun-15,99.41,100.45,99.14,99.98,3299720
8-Jun-15,99.82,99.99,99.17,99.41,3161420
5-Jun-15,100.62,100.76,99.81,99.95,3536375
4-Jun-15,101.20,101.96,100.28,100.87,3896103
3-Jun-15,102.40,102.60,101.79,101.91,2780349
2-Jun-15,102.05,102.25,101.20,101.83,3002367
1-Jun-15,102.90,103.06,102.09,102.51,3292016
29-May-15,103.15,103.21,101.82,102.38,4961458
28-May-15,103.52,103.72,102.40,103.19,2599861
27-May-15,103.11,103.86,103.04,103.48,3537807
26-May-15,103.97,104.32,102.53,102.85,3692511
22-May-15,103.90,104.42,103.37,103.95,3671388
21-May-15,101.27,104.93,101.10,103.69,7691620
20-May-15,102.32,102.32,101.24,101.27,3800367
19-May-15,102.65,102.88,101.95,102.32,2970100
18-May-15,101.78,102.81,101.70,102.44,2599728
15-May-15,102.06,102.14,101.39,102.07,3788836
14-May-15,100.40,102.00,100.32,101.96,4289657
13-May-15,100.46,100.74,99.47,99.81,3913247
12-May-15,100.02,100.76,99.77,100.24,4019514
11-May-15,100.51,101.31,100.34,100.49,3129022
8-May-15,99.85,101.10,99.85,100.66,4350716
7-May-15,98.97,99.54,98.50,99.36,3822905
6-May-15,98.82,99.15,98.23,98.87,3648449
5-May-15,100.11,100.27,98.19,98.74,4556464
4-May-15,100.57,101.32,100.01,100.16,3318815
1-May-15,100.93,101.18,97.87,100.46,6699072
30-Apr-15,100.42,101.05,99.01,99.29,7990142
29-Apr-15,101.67,101.95,100.19,100.67,6140424
28-Apr-15,101.20,102.11,100.74,101.97,4087661
27-Apr-15,102.00,102.53,101.19,101.22,5425505
24-Apr-15,100.94,101.85,100.76,101.58,5418802
23-Apr-15,100.90,101.23,100.28,100.88,4120790
22-Apr-15,101.40,101.67,100.29,101.23,5562686
21-Apr-15,101.50,101.92,101.12,101.41,5004434
20-Apr-15,100.81,101.46,100.52,101.28,4559234
17-Apr-15,100.59,100.72,99.25,100.39,6579172
16-Apr-15,101.78,101.92,101.02,101.17,4077734
15-Apr-15,102.25,102.51,101.57,101.73,4363587
14-Apr-15,102.23,102.76,101.38,102.11,4729393
13-Apr-15,102.47,103.16,102.00,102.14,6436914
10-Apr-15,102.56,102.80,102.02,102.54,3607104
9-Apr-15,103.04,103.29,101.84,102.37,5609523
8-Apr-15,103.25,103.88,102.75,102.93,3307112
7-Apr-15,103.39,104.45,103.10,103.13,2923167
6-Apr-15,102.10,103.95,102.03,103.43,3211043
2-Apr-15,101.73,103.27,101.72,102.71,3041484
1-Apr-15,102.66,102.73,101.30,102.26,4593349
31-Mar-15,103.82,104.30,103.14,103.21,3779375
30-Mar-15,102.39,104.10,101.96,103.83,3978623
