Date,Open,High,Low,Close,Volume
16-Jun-15,36.41,36.50,36.32,36.50,5101
15-Jun-15,36.47,36.76,36.47,36.68,1851
12-Jun-15,36.45,36.45,36.38,36.45,6790
11-Jun-15,36.45,36.54,36.36,36.49,19539
10-Jun-15,36.71,36.71,36.62,36.64,4359
9-Jun-15,36.52,36.52,36.35,36.39,5506
8-Jun-15,36.27,36.34,36.22,36.34,4193
5-Jun-15,36.04,36.28,36.04,36.27,5729
4-Jun-15,36.52,36.52,36.31,36.49,7222
3-Jun-15,36.98,37.03,36.75,36.85,7377
2-Jun-15,37.21,37.24,37.13,37.23,316062
1-Jun-15,37.40,37.55,37.01,37.08,16329
29-May-15,37.05,37.15,37.03,37.08,6372
28-May-15,36.95,37.08,36.77,36.99,10400
27-May-15,36.87,37.01,36.86,36.98,11054
26-May-15,36.98,37.13,36.98,37.03,83305
22-May-15,37.60,37.69,37.54,37.60,14537
21-May-15,37.61,37.68,37.61,37.67,2155
20-May-15,37.81,37.86,37.73,37.78,43617
19-May-15,38.06,38.06,37.62,37.72,10039
18-May-15,38.48,38.50,38.36,38.39,6190
15-May-15,38.24,38.35,38.23,38.35,8658
14-May-15,38.26,38.35,38.17,38.22,11279
13-May-15,38.00,38.02,37.86,37.86,8919
12-May-15,36.99,37.11,36.93,37.11,2482
11-May-15,36.93,36.95,36.66,36.70,13721
8-May-15,36.83,36.96,36.83,36.92,25577
7-May-15,36.86,36.87,36.67,36.72,7416
6-May-15,37.10,37.10,36.97,37.03,6899
5-May-15,37.33,37.33,37.06,37.12,12541
4-May-15,37.02,37.12,36.87,36.89,54733
1-May-15,36.31,36.48,36.30,36.46,5216
30-Apr-15,36.55,36.68,36.50,36.66,10634
29-Apr-15,37.56,37.62,37.32,37.32,3192
28-Apr-15,37.45,37.64,37.45,37.64,18515
27-Apr-15,36.62,37.39,36.62,37.26,20126
24-Apr-15,36.54,36.54,36.26,36.35,40851
23-Apr-15,36.78,36.91,36.72,36.82,8810
22-Apr-15,36.89,36.89,36.57,36.58,14921
21-Apr-15,36.88,37.12,36.88,37.08,6625
20-Apr-15,36.97,36.98,36.78,36.91,15183
17-Apr-15,37.28,37.30,37.17,37.25,6343
16-Apr-15,37.02,37.23,37.02,37.12,6056
15-Apr-15,37.05,37.32,36.87,37.23,42093
14-Apr-15,37.04,37.10,36.94,36.95,2962
13-Apr-15,37.24,37.24,37.13,37.16,4219
10-Apr-15,37.51,37.56,37.31,37.45,9779
9-Apr-15,37.07,37.07,36.95,36.99,17554
8-Apr-15,37.61,37.62,37.17,37.35,27937
7-Apr-15,37.77,37.77,37.64,37.70,7469
6-Apr-15,38.10,38.20,37.86,37.86,5817
2-Apr-15,37.48,37.49,37.27,37.42,11972
1-Apr-15,37.24,37.67,37.24,37.58,3282
31-Mar-15,37.03,37.14,36.86,36.93,9853
30-Mar-15,36.37,37.09,36.37,37.01,28019
27-Mar-15,37.58,37.58,37.38,37.42,12909
26-Mar-15,37.74,37.75,37.59,37.64,26629
25-Mar-15,37.58,37.58,37.39,37.39,12084
24-Mar-15,37.27,37.35,37.16,37.33,9440
23-Mar-15,37.03,37.32,37.00,37.30,13629
20-Mar-15,36.64,37.12,36.54,36.96,12613
19-Mar-15,36.13,36.42,36.11,36.40,8335
18-Mar-15,35.59,36.40,35.50,36.28,14625
17-Mar-15,35.42,35.85,35.42,35.57,10821
16-Mar-15,35.84,35.84,35.62,35.76,6935
13-Mar-15,35.84,35.84,35.65,35.76,6212
12-Mar-15,35.84,35.84,35.55,35.69,17726
11-Mar-15,35.89,35.89,35.47,35.69,34640
10-Mar-15,36.15,36.34,35.78,35.94,18281
9-Mar-15,36.29,36.32,36.14,36.14,3532
6-Mar-15,36.51,36.53,36.07,36.13,18413
5-Mar-15,37.29,37.45,37.12,37.12,6755
4-Mar-15,37.42,37.42,37.13,37.17,10140
3-Mar-15,37.51,37.63,37.23,37.23,626571
2-Mar-15,37.67,37.72,37.37,37.39,32824
27-Feb-15,37.79,38.05,37.63,37.63,27541
26-Feb-15,37.83,37.83,37.55,37.55,49240
25-Feb-15,37.62,37.62,37.40,37.49,35620
24-Feb-15,37.18,37.34,36.92,37.23,34906
23-Feb-15,37.24,37.63,37.18,37.31,39661
