Date,Open,High,Low,Close,Volume
16-Jun-15,38.76,38.89,38.76,38.87,10756
15-Jun-15,38.93,39.09,38.89,39.07,2444
12-Jun-15,38.81,38.87,38.81,38.86,2565
11-Jun-15,38.82,38.89,38.78,38.86,2268
10-Jun-15,39.15,39.15,39.03,39.03,9413
9-Jun-15,38.85,38.86,38.72,38.72,3866
8-Jun-15,38.58,38.65,38.53,38.65,10155
5-Jun-15,38.30,38.55,38.30,38.55,2774
4-Jun-15,38.69,38.72,38.66,38.71,4677
3-Jun-15,39.21,39.21,38.91,39.01,25202
2-Jun-15,39.28,39.35,39.28,39.30,11455
1-Jun-15,39.50,39.52,39.18,39.19,2008
29-May-15,39.17,39.27,39.16,39.17,16492
28-May-15,39.08,39.17,38.94,39.16,5951
27-May-15,39.08,39.11,39.08,39.10,5355
26-May-15,39.08,39.16,39.08,39.14,5310
22-May-15,39.66,39.80,39.65,39.72,6518
21-May-15,39.68,39.77,39.68,39.75,5123
20-May-15,39.85,39.93,39.82,39.87,3545
19-May-15,40.03,40.03,39.79,39.83,15346
18-May-15,40.34,40.49,40.32,40.40,13465
15-May-15,40.10,40.39,40.10,40.36,5333
14-May-15,40.28,40.42,40.24,40.26,14806
13-May-15,39.75,40.14,39.75,40.06,10454
12-May-15,39.21,39.34,39.21,39.31,8609
11-May-15,39.15,39.15,38.91,38.98,1600
8-May-15,39.15,39.17,39.04,39.17,20407
7-May-15,38.95,39.00,38.95,38.95,9771
6-May-15,39.38,39.38,39.18,39.28,11836
5-May-15,39.51,39.51,39.31,39.31,21798
4-May-15,39.20,39.29,39.13,39.16,5938
1-May-15,38.61,38.74,38.58,38.74,2769
30-Apr-15,38.78,39.01,38.78,38.99,5678
29-Apr-15,39.86,39.96,39.61,39.66,29988
28-Apr-15,39.72,40.05,39.72,39.97,30988
27-Apr-15,39.26,39.76,39.26,39.64,12699
24-Apr-15,39.18,39.18,38.74,38.84,6157
23-Apr-15,39.14,39.48,39.14,39.36,25702
