Date,Open,High,Low,Close,Volume
16-Jun-15,55.45,55.45,55.45,55.45,175
15-Jun-15,-,-,-,55.60,0
12-Jun-15,-,-,-,55.60,0
11-Jun-15,55.51,55.60,55.51,55.60,444
10-Jun-15,55.84,55.84,55.84,55.84,772
9-Jun-15,-,-,-,55.19,0
8-Jun-15,55.19,55.19,55.19,55.19,193
5-Jun-15,55.22,55.22,54.64,54.98,809
4-Jun-15,-,-,-,56.31,0
3-Jun-15,56.57,56.57,56.10,56.31,1015
2-Jun-15,56.69,56.69,56.69,56.69,458
1-Jun-15,57.24,57.24,56.88,56.88,1440
29-May-15,56.86,56.86,56.86,56.86,118
28-May-15,56.50,56.50,56.50,56.50,125
27-May-15,56.59,56.59,56.59,56.59,443
26-May-15,-,-,-,57.63,0
22-May-15,57.44,57.63,57.44,57.63,1644
21-May-15,-,-,-,57.96,0
20-May-15,-,-,-,57.96,0
19-May-15,58.16,58.16,57.96,57.96,852
18-May-15,-,-,-,58.81,0
15-May-15,58.81,58.81,58.81,58.81,108
14-May-15,58.82,58.82,58.48,58.48,675
13-May-15,-,-,-,56.65,0
12-May-15,56.40,56.65,56.40,56.65,339
11-May-15,56.37,56.50,56.37,56.50,386
8-May-15,-,-,-,56.58,0
7-May-15,-,-,-,56.58,0
6-May-15,56.50,56.58,56.50,56.58,1309
5-May-15,-,-,-,56.61,0
4-May-15,56.45,56.61,56.45,56.61,832
1-May-15,55.45,55.45,55.45,55.45,944
30-Apr-15,55.57,55.61,55.57,55.61,435
29-Apr-15,57.17,57.17,57.16,57.16,980
28-Apr-15,57.00,57.52,57.00,57.52,544
27-Apr-15,55.82,56.94,55.81,56.94,8076
24-Apr-15,55.59,55.59,55.25,55.25,1172
23-Apr-15,55.81,56.20,55.81,56.20,1135
22-Apr-15,56.28,56.28,55.63,55.63,2210
21-Apr-15,56.27,56.50,56.26,56.50,1373
20-Apr-15,56.33,56.33,56.00,56.10,741
17-Apr-15,56.76,56.97,56.76,56.80,1125
16-Apr-15,56.91,56.91,56.52,56.52,285
15-Apr-15,56.84,56.90,56.84,56.90,430
14-Apr-15,56.37,56.37,56.37,56.37,368
13-Apr-15,56.68,56.68,56.68,56.68,445
10-Apr-15,57.31,57.31,57.31,57.31,401
9-Apr-15,56.46,56.49,56.46,56.47,465
8-Apr-15,57.02,57.05,56.50,56.50,979
7-Apr-15,57.61,57.62,57.61,57.62,889
6-Apr-15,58.44,58.44,58.24,58.24,1735
2-Apr-15,57.23,57.23,56.93,57.02,1660
1-Apr-15,-,-,-,56.64,0
31-Mar-15,-,-,-,56.64,0
30-Mar-15,56.71,56.71,56.64,56.64,374
27-Mar-15,57.27,57.57,57.26,57.57,840
26-Mar-15,57.80,57.80,57.80,57.80,219
25-Mar-15,57.47,57.47,57.31,57.31,1917
24-Mar-15,56.86,56.89,56.86,56.89,754
23-Mar-15,56.77,56.77,56.69,56.77,1460
20-Mar-15,56.48,57.10,56.48,56.85,1309
19-Mar-15,55.25,55.62,55.25,55.60,1081
18-Mar-15,54.25,55.55,54.25,55.55,4121
17-Mar-15,54.15,54.55,54.11,54.11,1541
16-Mar-15,54.60,54.60,54.20,54.39,4957
13-Mar-15,54.35,54.35,54.35,54.35,371
12-Mar-15,-,-,-,56.77,0
11-Mar-15,-,-,-,56.77,0
10-Mar-15,-,-,-,56.77,0
9-Mar-15,-,-,-,56.77,0
6-Mar-15,-,-,-,56.77,0
5-Mar-15,-,-,-,56.77,0
4-Mar-15,56.77,56.77,56.77,56.77,408
3-Mar-15,57.52,57.52,56.90,56.93,1068
2-Mar-15,57.56,57.56,57.56,57.56,115
27-Feb-15,57.66,57.81,57.66,57.81,378
26-Feb-15,57.44,57.44,57.44,57.44,399
25-Feb-15,-,-,-,56.88,0
24-Feb-15,56.80,56.91,56.80,56.88,1048
23-Feb-15,57.05,57.38,56.85,56.95,5375
20-Feb-15,56.79,56.79,56.76,56.76,288
19-Feb-15,57.68,57.68,56.98,57.53,1492
18-Feb-15,57.20,57.54,57.20,57.54,972
17-Feb-15,58.21,58.21,57.09,57.16,990
13-Feb-15,59.05,59.20,59.00,59.02,3828
12-Feb-15,58.20,58.46,58.14,58.29,3099
11-Feb-15,58.14,58.14,57.99,57.99,938
10-Feb-15,58.89,58.89,58.89,58.89,169
9-Feb-15,-,-,-,58.60,0
6-Feb-15,58.77,58.77,58.60,58.60,1956
5-Feb-15,-,-,-,60.41,0
4-Feb-15,60.83,60.90,60.41,60.41,3338
3-Feb-15,-,-,-,62.14,0
2-Feb-15,-,-,-,62.14,0
28-Jan-15,-,-,-,62.14,0
27-Jan-15,62.07,62.14,62.07,62.14,1000
26-Jan-15,-,-,-,62.53,0
23-Jan-15,62.53,62.53,62.53,62.53,786
22-Jan-15,62.55,62.75,62.55,62.75,252
21-Jan-15,62.44,62.44,62.43,62.44,673
20-Jan-15,61.97,62.15,61.97,62.15,2387
16-Jan-15,60.30,61.04,60.30,61.04,957
15-Jan-15,60.28,60.28,60.03,60.03,331
14-Jan-15,58.90,58.90,58.62,58.62,2168
13-Jan-15,-,-,-,58.35,0
12-Jan-15,58.41,58.41,58.35,58.35,1002
9-Jan-15,-,-,-,57.83,0
8-Jan-15,-,-,-,57.83,0
7-Jan-15,57.83,57.83,57.83,57.83,113
6-Jan-15,-,-,-,56.28,0
5-Jan-15,-,-,-,56.28,0
2-Jan-15,55.69,56.55,55.69,56.28,6434
31-Dec-14,56.57,56.57,56.05,56.05,709
30-Dec-14,56.60,57.15,56.60,57.01,3639
29-Dec-14,56.60,56.60,55.81,55.81,518
26-Dec-14,56.25,56.43,56.25,56.43,446
24-Dec-14,-,-,-,55.50,0
23-Dec-14,55.68,55.68,55.50,55.50,1540
22-Dec-14,56.21,56.21,55.60,55.60,870
19-Dec-14,-,-,-,56.55,0
18-Dec-14,56.83,56.83,56.55,56.55,814
16-Dec-14,56.98,56.98,56.06,56.06,664
15-Dec-14,56.70,56.70,56.70,56.70,244
12-Dec-14,58.33,58.33,58.30,58.30,801
11-Dec-14,-,-,-,58.82,0
10-Dec-14,58.93,58.93,58.82,58.82,496
9-Dec-14,-,-,-,56.84,0
8-Dec-14,-,-,-,56.84,0
5-Dec-14,57.05,57.05,56.79,56.84,1018
4-Dec-14,57.51,57.52,57.51,57.52,836
3-Dec-14,57.37,57.49,57.32,57.46,3320
2-Dec-14,56.95,57.14,56.93,57.14,6385
1-Dec-14,57.98,57.98,57.60,57.60,970
28-Nov-14,55.27,55.27,55.27,55.27,658
26-Nov-14,57.07,57.07,57.07,57.07,1968
25-Nov-14,-,-,-,57.00,0
24-Nov-14,57.05,57.05,57.00,57.00,234
21-Nov-14,57.30,57.37,56.93,56.93,3785
20-Nov-14,-,-,-,56.49,0
19-Nov-14,55.95,57.26,55.95,56.49,6051
18-Nov-14,56.78,56.78,56.78,56.78,386
17-Nov-14,-,-,-,56.09,0
14-Nov-14,55.55,56.09,55.55,56.09,1200
13-Nov-14,55.03,55.03,55.03,55.03,351
12-Nov-14,-,-,-,55.09,0
11-Nov-14,54.61,55.09,54.61,55.09,425
10-Nov-14,54.72,55.00,54.44,54.46,691
7-Nov-14,54.62,54.62,54.62,54.62,290
6-Nov-14,54.17,54.24,54.17,54.24,661
