Date,Open,High,Low,Close,Volume
16-Jun-15,223.56,226.46,223.24,225.86,377976
15-Jun-15,223.80,224.83,222.18,223.32,511505
12-Jun-15,225.10,226.33,224.71,225.45,411532
11-Jun-15,226.47,227.67,225.57,226.03,410758
10-Jun-15,223.53,226.21,222.93,225.68,389849
9-Jun-15,221.41,223.95,220.78,222.93,327794
8-Jun-15,221.61,223.14,221.61,221.84,425804
5-Jun-15,221.61,223.11,221.02,222.09,349690
4-Jun-15,223.11,224.86,221.87,222.12,433607
3-Jun-15,223.78,225.00,222.90,224.22,336903
2-Jun-15,221.14,223.79,221.14,222.90,577978
1-Jun-15,220.80,223.18,218.82,222.49,568537
29-May-15,221.68,222.92,219.27,219.53,821940
28-May-15,222.72,223.58,221.26,222.67,438622
27-May-15,223.25,223.85,222.37,222.54,360434
26-May-15,224.23,225.87,222.46,222.83,562938
22-May-15,224.37,226.00,223.62,224.40,356353
21-May-15,220.98,225.46,220.98,224.94,465442
20-May-15,224.54,224.98,222.11,222.33,339988
19-May-15,224.60,225.93,223.62,223.93,395113
18-May-15,223.05,225.00,222.81,224.27,440871
15-May-15,222.78,223.45,221.78,223.05,485683
14-May-15,221.23,222.62,218.86,222.28,456622
13-May-15,220.01,222.02,218.60,219.58,507225
12-May-15,219.35,221.31,218.58,220.20,501726
11-May-15,220.81,222.61,220.00,220.48,634532
8-May-15,221.03,223.86,220.39,221.09,586685
7-May-15,217.88,220.66,217.84,219.38,584488
6-May-15,220.26,220.60,216.41,217.38,671424
5-May-15,221.82,223.10,218.76,219.52,576434
4-May-15,221.85,223.51,220.61,222.79,407854
1-May-15,219.00,222.48,218.21,222.04,691948
30-Apr-15,220.87,222.86,216.72,217.83,657049
29-Apr-15,225.46,225.80,220.57,220.96,687614
28-Apr-15,225.20,226.56,223.55,226.26,709550
27-Apr-15,230.00,230.00,224.82,225.13,498525
24-Apr-15,228.05,229.80,227.09,229.35,747589
23-Apr-15,225.00,230.77,224.00,228.31,1374785
22-Apr-15,217.07,217.36,214.19,216.67,770523
21-Apr-15,218.72,219.92,216.14,217.07,475866
20-Apr-15,215.66,218.11,214.34,217.15,566244
