Date,Open,High,Low,Close,Volume
16-Jun-15,9.75,9.77,9.72,9.77,186741
15-Jun-15,9.75,9.83,9.75,9.81,179898
12-Jun-15,9.73,9.77,9.72,9.75,267249
11-Jun-15,9.75,9.76,9.72,9.74,316134
10-Jun-15,9.83,9.84,9.79,9.80,279825
9-Jun-15,9.76,9.77,9.72,9.72,214183
8-Jun-15,9.69,9.72,9.67,9.72,336974
5-Jun-15,9.62,9.69,9.61,9.68,322078
4-Jun-15,9.73,9.74,9.68,9.73,370935
3-Jun-15,9.84,9.84,9.74,9.79,376672
2-Jun-15,9.85,9.87,9.83,9.85,233038
1-Jun-15,9.90,9.94,9.80,9.81,401471
29-May-15,9.82,9.85,9.81,9.82,214059
28-May-15,9.81,9.83,9.76,9.82,267885
27-May-15,9.80,9.82,9.79,9.81,219985
26-May-15,9.80,9.84,9.80,9.81,348102
22-May-15,9.96,9.98,9.94,9.95,187855
21-May-15,9.96,10.00,9.95,9.98,211706
20-May-15,9.99,10.03,9.98,10.01,265047
19-May-15,10.03,10.05,9.96,9.98,305964
18-May-15,10.15,10.15,10.10,10.11,605750
15-May-15,10.06,10.12,10.06,10.12,409787
14-May-15,10.11,10.15,10.08,10.09,494707
13-May-15,9.99,10.08,9.97,10.05,270380
12-May-15,9.83,9.88,9.82,9.86,225297
11-May-15,9.83,9.85,9.76,9.78,154491
8-May-15,9.85,9.85,9.79,9.83,357282
7-May-15,9.82,9.82,9.77,9.77,247691
6-May-15,9.87,9.90,9.83,9.85,322692
5-May-15,9.90,9.92,9.85,9.88,601228
4-May-15,9.83,9.86,9.81,9.84,229517
1-May-15,9.68,9.75,9.66,9.75,749914
30-Apr-15,9.80,9.81,9.73,9.78,608803
29-Apr-15,9.98,10.02,9.93,9.94,481221
28-Apr-15,9.94,10.05,9.94,10.01,580663
27-Apr-15,9.81,9.99,9.79,9.95,757151
24-Apr-15,9.80,9.82,9.71,9.74,624913
23-Apr-15,9.81,9.90,9.78,9.86,959680
22-Apr-15,9.89,9.90,9.80,9.80,248404
21-Apr-15,9.88,9.95,9.87,9.93,201389
20-Apr-15,9.89,9.90,9.85,9.87,340903
17-Apr-15,9.92,9.96,9.92,9.95,237232
16-Apr-15,9.95,9.96,9.87,9.90,321671
15-Apr-15,9.88,9.96,9.86,9.94,191235
14-Apr-15,9.88,9.91,9.84,9.85,254850
13-Apr-15,9.93,9.94,9.88,9.89,341819
10-Apr-15,9.98,9.99,9.94,9.98,314844
9-Apr-15,9.87,9.89,9.85,9.87,342641
8-Apr-15,9.99,10.00,9.89,9.94,533063
7-Apr-15,10.01,10.04,9.98,9.99,350235
6-Apr-15,10.09,10.11,10.02,10.03,285428
2-Apr-15,9.94,9.95,9.87,9.92,232330
1-Apr-15,9.85,10.00,9.85,9.94,354935
31-Mar-15,9.79,9.83,9.74,9.78,296469
30-Mar-15,9.79,9.81,9.77,9.79,611763
27-Mar-15,9.93,9.93,9.86,9.89,342407
26-Mar-15,9.98,10.00,9.94,9.94,427439
25-Mar-15,9.91,9.92,9.88,9.88,162376
24-Mar-15,9.85,9.87,9.82,9.86,335680
23-Mar-15,9.81,9.86,9.80,9.84,349278
20-Mar-15,9.70,9.84,9.70,9.80,574532
19-Mar-15,9.64,9.69,9.61,9.67,432033
18-Mar-15,9.52,9.72,9.49,9.68,738521
17-Mar-15,9.50,9.62,9.49,9.50,630695
16-Mar-15,9.59,9.61,9.53,9.59,501664
13-Mar-15,9.60,9.60,9.53,9.58,605041
12-Mar-15,9.58,9.60,9.52,9.56,266263
11-Mar-15,9.60,9.60,9.50,9.56,661115
10-Mar-15,9.67,9.69,9.60,9.60,330847
9-Mar-15,9.71,9.72,9.66,9.67,431352
6-Mar-15,9.80,9.81,9.66,9.67,890099
5-Mar-15,10.01,10.05,9.96,9.96,349041
4-Mar-15,10.04,10.04,9.98,9.99,248811
3-Mar-15,10.05,10.10,10.00,10.03,423542
2-Mar-15,10.10,10.12,10.03,10.03,443298
27-Feb-15,10.13,10.14,10.08,10.08,401865
26-Feb-15,10.09,10.10,10.04,10.05,265379
25-Feb-15,10.03,10.04,10.00,10.02,265379
24-Feb-15,9.96,10.01,9.91,10.00,362382
23-Feb-15,9.98,10.06,9.97,9.99,249948
20-Feb-15,10.06,10.09,9.97,10.00,409957
19-Feb-15,10.07,10.08,10.03,10.06,558584
18-Feb-15,10.04,10.08,9.95,10.06,672143
17-Feb-15,10.07,10.07,9.99,10.04,1155147
13-Feb-15,10.21,10.25,10.18,10.19,501013
12-Feb-15,10.17,10.18,10.12,10.14,541504
11-Feb-15,10.25,10.25,10.11,10.13,753234
10-Feb-15,10.26,10.29,10.22,10.24,587043
9-Feb-15,10.28,10.32,10.28,10.30,527482
6-Feb-15,10.33,10.35,10.21,10.28,637878
5-Feb-15,10.47,10.55,10.45,10.54,375952
4-Feb-15,10.52,10.56,10.47,10.52,523280
3-Feb-15,10.53,10.54,10.44,10.48,557763
2-Feb-15,10.55,10.64,10.54,10.58,774360
30-Jan-15,10.51,10.69,10.47,10.69,805904
29-Jan-15,10.58,10.59,10.43,10.47,778593
28-Jan-15,10.68,10.73,10.64,10.70,853449
27-Jan-15,10.64,10.78,10.64,10.74,837816
26-Jan-15,10.64,10.65,10.58,10.60,499622
23-Jan-15,10.75,10.75,10.67,10.72,573761
22-Jan-15,10.79,10.86,10.73,10.82,857923
21-Jan-15,10.81,10.82,10.66,10.74,678096
20-Jan-15,10.67,10.77,10.66,10.72,967952
16-Jan-15,10.49,10.61,10.48,10.59,1731612
15-Jan-15,10.34,10.47,10.34,10.40,958432
14-Jan-15,10.25,10.28,10.14,10.14,427742
13-Jan-15,10.25,10.26,10.14,10.16,599130
12-Jan-15,10.10,10.22,10.08,10.19,411154
9-Jan-15,10.02,10.09,10.02,10.08,388804
8-Jan-15,10.04,10.06,9.96,9.97,346768
7-Jan-15,10.01,10.06,10.00,10.02,325120
6-Jan-15,10.00,10.11,9.98,10.07,901653
5-Jan-15,9.84,9.98,9.84,9.97,285766
2-Jan-15,9.69,9.87,9.67,9.82,531958
31-Dec-14,9.88,9.90,9.75,9.77,972499
30-Dec-14,9.88,10.00,9.88,9.91,1340186
29-Dec-14,9.86,9.87,9.75,9.78,790348
26-Dec-14,9.89,9.90,9.86,9.89,718155
24-Dec-14,9.71,9.72,9.70,9.71,260055
23-Dec-14,9.72,9.76,9.70,9.70,1110802
22-Dec-14,9.90,9.90,9.67,9.69,937494
19-Dec-14,9.90,9.92,9.87,9.88,1108045
18-Dec-14,9.95,9.96,9.86,9.90,573733
17-Dec-14,9.92,9.95,9.80,9.85,879911
16-Dec-14,10.01,10.03,9.82,9.90,597691
15-Dec-14,9.99,10.08,9.84,9.86,1190351
12-Dec-14,10.10,10.14,10.05,10.10,482888
11-Dec-14,10.07,10.18,10.05,10.13,690676
10-Dec-14,10.16,10.20,10.13,10.16,423047
9-Dec-14,10.07,10.24,10.07,10.17,715636
8-Dec-14,9.90,10.00,9.86,9.98,939363
5-Dec-14,9.89,9.90,9.80,9.86,1835554
4-Dec-14,9.98,10.00,9.94,9.96,501546
3-Dec-14,9.93,10.04,9.93,10.02,861027
2-Dec-14,9.89,9.96,9.85,9.92,924794
1-Dec-14,9.75,10.09,9.75,10.02,1493851
28-Nov-14,9.74,9.79,9.63,9.64,273881
26-Nov-14,9.90,9.94,9.89,9.89,405421
25-Nov-14,9.91,9.93,9.88,9.93,743490
24-Nov-14,9.91,9.92,9.88,9.89,537434
21-Nov-14,9.92,9.96,9.85,9.91,695646
20-Nov-14,9.85,9.89,9.81,9.88,334205
19-Nov-14,9.90,9.93,9.73,9.76,1563606
18-Nov-14,9.90,9.92,9.87,9.91,470417
17-Nov-14,9.83,9.84,9.78,9.83,927117
14-Nov-14,9.55,9.88,9.53,9.86,888118
13-Nov-14,9.61,9.65,9.57,9.61,737589
12-Nov-14,9.65,9.65,9.57,9.58,621368
11-Nov-14,9.55,9.70,9.54,9.65,631052
10-Nov-14,9.67,9.67,9.48,9.48,879821
7-Nov-14,9.49,9.73,9.49,9.72,725695
6-Nov-14,9.44,9.50,9.42,9.43,1335761
5-Nov-14,9.45,9.50,9.42,9.42,1784733
4-Nov-14,9.63,9.68,9.62,9.63,1471291
3-Nov-14,9.71,9.71,9.62,9.64,1973476
31-Oct-14,9.67,9.70,9.58,9.68,2801676
30-Oct-14,9.95,9.97,9.87,9.90,950416
29-Oct-14,10.11,10.12,9.97,9.99,407872
28-Oct-14,10.19,10.19,10.12,10.13,534130
27-Oct-14,10.14,10.17,10.14,10.14,284998
24-Oct-14,10.21,10.21,10.16,10.17,212888
